# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492133 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/fo.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456498761 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/kn.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492533 3 ./scripts-old/ntop/ntop/html/statsicons/os/.svn/props/os2.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456496476 3 ./scripts-old/ntop/ntop/html/.svn/prop-base/graph_zoom.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492534 3 ./scripts-old/ntop/ntop/html/statsicons/os/.svn/prop-base/cisco.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488321 3 ./scripts-old/ntop/ntop/html/statsicons/os/.svn/props/irix.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456496477 3 ./scripts-old/ntop/ntop/html/.svn/prop-base/help.png.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456496478 3 ./scripts-old/ntop/ntop/html/.svn/prop-base/gray_bg.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456498760 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/kz.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488319 3 ./scripts-old/ntop/ntop/html/statsicons/os/.svn/props/mac.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491994 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/mt.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491992 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/mr.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491991 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/ne.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491990 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/np.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491989 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/na.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491988 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/my.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488267 3 ./scripts-old/ntop/ntop/html/statsicons/os/.svn/prop-base/windows.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488266 3 ./scripts-old/ntop/ntop/html/statsicons/os/.svn/prop-base/sun.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491906 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/aq.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491905 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/bg.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491904 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/bf.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491903 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/ps.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491902 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/pl.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491898 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/pk.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491896 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/ph.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491895 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/hn.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491894 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/hm.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491882 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/localhost.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491881 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/lc.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456491878 3 ./scripts-old/ntop/ntop/html/.svn/props/warning.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456491877 3 ./scripts-old/ntop/ntop/html/.svn/props/vgauge.jpg.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456491854 3 ./scripts-old/ntop/ntop/html/.svn/props/favicon.ico.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488265 3 ./scripts-old/ntop/ntop/html/statsicons/os/.svn/prop-base/irix.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488264 3 ./scripts-old/ntop/ntop/html/statsicons/os/.svn/prop-base/hp.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488263 3 ./scripts-old/ntop/ntop/html/statsicons/os/.svn/props/hp.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488262 3 ./scripts-old/ntop/ntop/html/statsicons/os/.svn/props/linux.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456498758 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/la.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456491846 3 ./scripts-old/ntop/ntop/html/.svn/prop-base/child.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456491843 3 ./scripts-old/ntop/ntop/html/.svn/prop-base/clear.gif.svn-base
